"Add to Wish List", "Добавить в список желаний"
"Add to Compare", "Добавить к сравнению"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 Products found"
"Regular Price", "was"
"Shop By","Фильтр"
"Remove item", "Remove"
"Update Shopping Cart", "Update Cart"
"Continue to Shipping Information", "Select Shipping Method"
"Sign In", "Войти"
"Sign Up", "Регистрация"
"and up", "& up"
"%1 items", "%1"
"1 item", "1"
"We use cookies to make your experience better.", "We use cookies to make your experience better."
"To comply with the new e-Privacy directive, you agree to <a href=""%1"">the privacy policy and our use of cookies</a>.", "To comply with the new e-Privacy directive, you agree to <a href=""%1"">the privacy policy and our use of cookies</a>."
"Continue", "Continue"
"Shop By Department", "Каталог товаров"
"I'm looking for...", "Я ищу..."
"Search", "Поиск"
"Show", "Show"
"View as", "View as"
"Categories", "Категории"
"Position", "Position"
"Search entire store here...", "Я ищу..."
"Product code", "Код товара"
"Hi,","Здравствуйте,"
"My Account","Личный кабинетт"
"My Wishlist","Списки желаний "
"Log Out","Выход"
"Log In","Войти"
"Register", "Регистрация"
"On Sale", "Со скидкой"
"Customer Reviews of", "Отзывы покупателей о"
"Forgot?","Напомнить пароль"
"Get In Touch","Напишите нам"
